pair_id,variant_id,paper_id,benchmark,base_method,variant_method,variant_label,dataset,main_score,variant_score,delta,description,source
2011.07213|PLAS+P|main|halfcheetah-random,2011.07213|PLAS+P|main,2011.07213,d4rl,PLAS,PLAS+P,main,halfcheetah-random,25.8,28.3,2.5,"variant: main; conditions: {""max_latent_action"": ""2"", ""max_perturbation"": ""best of sweep {0, 0.01, 0.05, 0.1, 0.2, 0.5} (Appendix D); exact value per dataset not tabulated""}; notes: PLAS+P column = 'we report the best result from Appendix D' (best over max perturbation epsilon).; variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 3 vs main Table 3
2011.07213|PLAS+P|epsilon=0.05|walker2d-random,2011.07213|PLAS+P|epsilon=0.05,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.05,walker2d-random,3.1,6.8,3.7,"variant: epsilon=0.05; conditions: {""max_perturbation"": ""0.05"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.05' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.1|walker2d-random,2011.07213|PLAS+P|epsilon=0.1,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.1,walker2d-random,3.1,2.4,-0.7,"variant: epsilon=0.1; conditions: {""max_perturbation"": ""0.1"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.1' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.2|walker2d-random,2011.07213|PLAS+P|epsilon=0.2,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.2,walker2d-random,3.1,1.3,-1.8,"variant: epsilon=0.2; conditions: {""max_perturbation"": ""0.2"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.2' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.5|walker2d-random,2011.07213|PLAS+P|epsilon=0.5,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.5,walker2d-random,3.1,-0.3,-3.4,"variant: epsilon=0.5; conditions: {""max_perturbation"": ""0.5"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.5' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.05|hopper-random,2011.07213|PLAS+P|epsilon=0.05,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.05,hopper-random,10.5,11.1,0.6,"variant: epsilon=0.05; conditions: {""max_perturbation"": ""0.05"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.05' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.1|hopper-random,2011.07213|PLAS+P|epsilon=0.1,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.1,hopper-random,10.5,11.6,1.1,"variant: epsilon=0.1; conditions: {""max_perturbation"": ""0.1"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.1' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.2|hopper-random,2011.07213|PLAS+P|epsilon=0.2,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.2,hopper-random,10.5,12.2,1.7,"variant: epsilon=0.2; conditions: {""max_perturbation"": ""0.2"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.2' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.5|hopper-random,2011.07213|PLAS+P|epsilon=0.5,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.5,hopper-random,10.5,13.3,2.8,"variant: epsilon=0.5; conditions: {""max_perturbation"": ""0.5"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.5' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.05|halfcheetah-random,2011.07213|PLAS+P|epsilon=0.05,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.05,halfcheetah-random,25.8,25.7,-0.1,"variant: epsilon=0.05; conditions: {""max_perturbation"": ""0.05"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.05' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.1|halfcheetah-random,2011.07213|PLAS+P|epsilon=0.1,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.1,halfcheetah-random,25.8,27.4,1.6,"variant: epsilon=0.1; conditions: {""max_perturbation"": ""0.1"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.1' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.2|halfcheetah-random,2011.07213|PLAS+P|epsilon=0.2,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.2,halfcheetah-random,25.8,27.6,1.8,"variant: epsilon=0.2; conditions: {""max_perturbation"": ""0.2"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.2' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.5|halfcheetah-random,2011.07213|PLAS+P|epsilon=0.5,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.5,halfcheetah-random,25.8,28.3,2.5,"variant: epsilon=0.5; conditions: {""max_perturbation"": ""0.5"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.5' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.05|walker2d-medium,2011.07213|PLAS+P|epsilon=0.05,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.05,walker2d-medium,44.6,64.8,20.2,"variant: epsilon=0.05; conditions: {""max_perturbation"": ""0.05"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.05' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
2011.07213|PLAS+P|epsilon=0.1|walker2d-medium,2011.07213|PLAS+P|epsilon=0.1,2011.07213,d4rl,PLAS,PLAS+P,epsilon=0.1,walker2d-medium,44.6,66.9,22.3,"variant: epsilon=0.1; conditions: {""max_perturbation"": ""0.1"", ""max_latent_action"": ""2""}; notes: perturbation-limit ablation; column header 'ε = 0.1' (epsilon glyph dropped in layout.txt); variant method description: PLAS plus an optional perturbation layer on top of the decoder output that outputs a residual over the action limited to [-epsilon, epsilon] (L-infinity), allowing controlled out-of-distribution actions when the Q-function generalizes well. Inspired by BCQ's perturbation model but applied to a deterministic latent policy.; variant settings: actor_learning_rate=1e-4; critic_learning_rate=1e-3; cvae_learning_rate=1e-4; optimizer=Adam; cvae_encoder_decoder_hidden=(750, 750) default; (128, 128) for datasets smaller than 1e6 transitions (medium-replay); cvae_training_steps=5e5; cvae_batch_size=100; policy_critic_perturbation_hidden=(400, 300); tau=0.005; lambda_clipped_double_q=1; policy_training_steps=5e5 (500 epochs x 1000 steps); policy_batch_size=100",Table 1 vs main Table 3
