board,task,dataset,metric,lower_is_better,paper_a,paper_b,score_a,score_b,label_a_better
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,2211.05778,87.2,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,1904.02877,74.9,74.96,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2111.12710,85.5,88.3,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.11946,2204.12511,84.4,87.2,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2211.09807,2103.13027,89.6,80.98,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2104.07916,2311.03035,71.6,85.8,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2211.05778,84.8,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2308.09372,84.8,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2202.03555,78.4,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.03889,2010.14819,84.1,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2106.02253,2202.10108,76.6,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,1902.05509,79.4,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,2211.05778,82.3,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.10305,2308.09372,68.6,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2111.12710,84.8,88.3,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2204.12511,2211.09807,87.2,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2308.09372,2103.13027,84.91,80.98,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2211.16961,2202.10108,83.6,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,2404.11202,77.0,80.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.10305,2010.14819,68.6,79.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,2207.10666,74.9,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,1905.04899,84.7,80.53,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1906.03516,2107.00651,75.1,82.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2202.10108,79.4,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2306.01705,84.7,81.89,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1902.05509,2211.05778,83.6,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2211.09807,88.3,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2306.01705,78.4,81.89,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,2404.11202,82.3,80.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2211.16961,84.8,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2209.12400,84.8,86.01,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1904.02877,2308.09372,74.96,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.03889,2211.16961,84.1,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,1905.11946,79.4,84.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,2308.09372,86.01,84.91,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.11946,2202.10108,84.4,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2107.02960,86.61,82.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,1912.05027,85.4,79.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,1905.04899,74.9,80.53,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,1904.02877,84.8,74.96,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2202.10108,79.0,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2104.07916,2211.16961,71.6,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2010.14819,86.61,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,1902.05509,85.4,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,2311.03035,75.7,85.8,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2209.12400,86.61,86.01,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.11946,2107.00651,84.4,82.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2107.02960,79.4,82.3,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,1905.04899,78.4,80.53,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.09379,2104.07916,38.3,71.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,1912.05027,75.7,79.0,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2306.01705,2105.10305,81.89,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2104.07916,78.4,71.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2311.03035,79.4,85.8,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2106.02253,88.3,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,1906.03516,80.53,75.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,2010.14819,80.53,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1906.03516,2202.03555,75.1,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2107.00651,79.4,82.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.10697,2107.00651,82.5,82.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2308.09372,2211.05778,84.91,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2202.03555,85.4,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2207.10666,85.4,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,2303.08810,82.3,85.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,2106.02253,77.0,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2404.11202,84.7,80.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,1906.03516,74.9,75.1,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,2107.00651,80.53,82.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2306.01705,79.4,81.89,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1904.02877,2106.02253,74.96,76.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2211.09807,85.5,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2211.16961,85.4,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,2211.09807,86.01,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2404.11202,2010.14819,80.4,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2211.16961,79.4,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,2206.09379,82.3,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,2306.01705,77.0,81.89,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2206.09379,84.8,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2205.13213,79.4,84.7,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,2308.09372,75.7,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2211.16961,2103.13027,83.6,80.98,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2207.10666,78.4,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2106.02253,86.61,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2306.01705,2010.14819,81.89,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,2105.10305,80.53,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2103.10697,79.4,82.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2010.14819,79.0,79.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,1906.03516,85.4,75.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2202.10108,1902.05509,88.5,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2404.11202,1902.05509,80.4,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2306.01705,85.4,81.89,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2206.09379,78.4,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,1912.05027,84.8,79.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2308.09372,2010.14819,84.91,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2202.03555,79.0,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2206.10589,2205.09612,79.4,86.61,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2103.10697,85.4,82.5,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2205.09612,88.3,86.61,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2010.14819,2202.10108,79.4,88.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2104.07916,2209.12400,71.6,86.01,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2106.02253,2207.10666,76.6,86.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.02960,2306.01705,82.3,81.89,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2010.14819,78.4,79.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2404.11202,2103.13027,80.4,80.98,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2105.02723,2211.05778,74.9,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2205.13213,84.8,84.7,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,2404.11202,85.8,80.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2201.00520,2306.01705,84.8,81.89,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2211.05778,86.61,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2103.13027,85.4,80.98,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2107.00651,2211.05778,82.4,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2207.10666,1902.05509,86.5,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2204.12511,86.61,87.2,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2306.01705,2308.09372,81.89,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2205.09612,84.7,86.61,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,1906.03516,75.7,75.1,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1911.11907,2103.10697,75.7,82.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1905.04899,2308.09372,80.53,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2206.09379,85.5,38.3,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,1904.02877,86.61,74.96,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1904.02877,2105.10305,74.96,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,2211.09807,86.61,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2101.03057,85.5,77.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2104.07916,1904.02877,71.6,74.96,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2306.01705,2106.02253,81.89,76.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2104.07916,2308.09372,71.6,84.91,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2211.16961,85.4,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2101.03057,2103.10697,77.0,82.5,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2202.03555,2105.10305,86.6,68.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2404.11202,2211.05778,80.4,89.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2105.02723,78.4,74.9,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,1902.05509,85.8,83.6,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2303.08810,2101.03057,85.4,77.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.09612,1911.11907,86.61,75.7,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2103.12731,2010.14819,85.5,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1805.00932,2010.14819,85.4,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2107.00651,84.7,82.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2110.02178,2303.08810,78.4,85.4,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2010.14819,84.7,79.4,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2211.16961,79.0,83.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2205.13213,2103.10697,84.7,82.5,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,1912.05027,2103.13027,79.0,80.98,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2311.03035,2202.03555,85.8,86.6,0
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2209.12400,1912.05027,86.01,79.0,1
Image Classification | ImageNet,Image Classification,ImageNet,Top 1 Accuracy,False,2111.12710,2107.02960,88.3,82.3,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2005.05859,1805.01890,98.4,91.21,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2205.09615,2304.07193,96.73,99.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2110.08059,1801.04381,92.2,95.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1709.10282,2002.12047,96.62,98.64,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2002.12047,1908.08681,98.64,94.05,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2205.14375,2205.13331,97.29,97.61,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1604.04112,2105.12723,94.4,97.2,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1507.06228,2204.12196,92.4,98.8,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2103.06132,1202.2745,97.73,88.8,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1901.09321,1908.08681,97.7,94.05,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1911.09265,2304.07193,98.01,99.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2305.03238,2205.13331,99.05,97.61,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1709.10282,2211.10684,96.62,80.63,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1511.00363,2302.06112,91.7,94.4367,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2201.09792,2205.04095,96.74,73.5,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1301.3557,1709.10282,84.9,96.62,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1908.08681,2304.07193,94.05,99.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2211.10684,2304.07193,80.63,99.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1301.3557,1801.04381,84.9,95.5,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1301.3557,1502.05700,84.9,93.6,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1911.09265,2205.13331,98.01,97.61,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2002.12047,1908.09699,98.64,97.86,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2110.08059,2211.10684,92.2,80.63,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1505.03229,2105.04319,89.7,92.3,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1502.05700,1911.09265,93.6,98.01,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1507.06228,1202.2745,92.4,88.8,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1301.3557,1805.01890,84.9,91.21,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1604.04112,1908.09699,94.4,97.86,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1901.09321,1511.06422,97.7,94.2,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1202.2745,2201.09792,88.8,96.74,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2003.13880,2201.09792,98.0,96.74,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2305.03238,1709.10282,99.05,96.62,1
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,1511.00363,1511.06422,91.7,94.2,0
Image Classification | CIFAR-10,Image Classification,CIFAR-10,Percentage correct,False,2303.16203,1902.09701,88.5,97.47,0
