paper,family,Asynchronous Methods for Deep Reinforcement Learning,Adam: A Method for Stochastic Optimization,Attention Is All You Need,Deep Residual Learning for Image Recognition,Efficient Estimation of Word Representations in Vector Space,Very Deep Convolutional Networks for Large-Scale Image Recognition,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Denoising Diffusion Implicit Models,Denoising Diffusion Probabilistic Models,Elucidating the Design Space of Diffusion-Based Generative Models,Score-Based Generative Modeling through Stochastic Differential Equations,A Simple Framework for Contrastive Learning of Visual Representations,Bootstrap your own latent: A new approach to self-supervised Learning,Exploring Simple Siamese Representation Learning,Revisiting Feature Prediction for Learning Visual Representations from Video,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,Meta-SGD: Learning to Learn Quickly for Few-Shot Learning,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,On First-Order Meta-Learning Algorithms,Proximal Policy Optimization Algorithms,Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,Trust Region Policy Optimization,Black box variational inference for state space models,Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,Particle Filter Networks with Application to Visual Localization,Particle Filter Recurrent Neural Networks,The Neural Particle Filter,Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,Deep Kalman Filters,On the relationship between predictive coding and backpropagation,Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,Predictive Coding Networks and Inference Learning: Tutorial and Survey,Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,Predictive Coding: a Theoretical and Experimental Review,Spiking Neural Predictive Coding for Continual Learning from Data Streams,Understanding and Improving Optimization in Predictive Coding Networks,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Dendritic predictive coding: A theory of cortical computation with spiking neurons,Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,Addressing Function Approximation Error in Actor-Critic Methods,Continuous control with deep reinforcement learning,Deep Reinforcement Learning with Double Q-learning,Playing Atari with Deep Reinforcement Learning,Rainbow: Combining Improvements in Deep Reinforcement Learning,Adaptive Neural Unscented Kalman Filter,Backprop KF: Learning Discriminative Deterministic State Estimators,Deep Robust Kalman Filter,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,Linear Variational State-Space Filtering,Neural Kalman Filtering,PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,Variational Tracking and Prediction with Generative Disentangled State-Space Models,Deep Variational Bayes Filters: Unsupervised Learning of State Space Models from Raw Data,Dream to Control: Learning Behaviors by Latent Imagination,Learning Latent Dynamics for Planning from Pixels,Mastering Atari with Discrete World Models,Mastering Diverse Domains through World Models,World Models
Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,jepa,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.33,0.17,0.50,1.00,0.14,0.17,0.20,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.40,0.20,0.20,0.20,0.17,0.50,0.40,0.17,0.20,0.25,0.00,0.00,0.00,0.20,0.10,0.17,0.08,0.17,0.00,0.14,0.14,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.40
Meta-SGD: Learning to Learn Quickly for Few-Shot Learning,meta-learning,0.12,0.14,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.14,0.00,0.00,0.11,0.00,0.00,0.14,1.00,0.29,0.33,0.00,0.00,0.00,0.14,0.10,0.14,0.12,0.12,0.14,0.00,0.14,0.12,0.14,0.12,0.12,0.00,0.17,0.00,0.00,0.00,0.14,0.18,0.29,0.14,0.29,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,meta-learning,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.29,1.00,0.40,0.17,0.14,0.17,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.17,0.14,0.17,0.14,0.14,0.00,0.20,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
On First-Order Meta-Learning Algorithms,meta-learning,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.33,0.40,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.20,0.17,0.20,0.17,0.17,0.00,0.25,0.00,0.00,0.00,0.20,0.10,0.17,0.08,0.17,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Proximal Policy Optimization Algorithms,on-policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,1.00,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,on-policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.40,1.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Trust Region Policy Optimization,on-policy,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.50,0.40,1.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Black box variational inference for state space models,particle,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,1.00,0.12,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.08,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,particle,0.00,0.00,0.25,0.00,0.00,0.00,0.12,0.50,0.29,0.12,0.00,0.11,0.22,0.25,0.12,0.12,0.10,0.00,0.00,0.00,0.00,0.00,0.12,1.00,0.12,0.25,0.11,0.00,0.12,0.00,0.00,0.12,0.11,0.00,0.12,0.00,0.12,0.00,0.00,0.00,0.08,0.11,0.06,0.11,0.00,0.10,0.00,0.29,0.00,0.29,0.12,0.12,0.00,0.00,0.11,0.00,0.00,0.43
Particle Filter Networks with Application to Visual Localization,particle,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.20,0.12,1.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.17,0.08,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Particle Filter Recurrent Neural Networks,particle,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.17,0.25,0.17,1.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.09,0.14,0.07,0.14,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.14
The Neural Particle Filter,particle,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.29,0.14,0.17,0.40,0.12,0.14,0.17,0.00,0.00,0.00,0.00,0.11,0.00,0.00,1.00,0.17,0.17,0.17,0.14,0.40,0.33,0.14,0.17,0.20,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14,0.00,0.29,0.12,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.14,0.00,0.00,0.14
Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,pc-learning,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.14,0.17,0.20,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.17,1.00,0.00,0.20,0.17,0.20,0.17,0.17,0.00,0.25,0.00,0.00,0.00,0.20,0.10,0.17,0.08,0.17,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deep Kalman Filters,pc-learning,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.20,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.00,1.00,0.00,0.00,0.20,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.20,0.17
On the relationship between predictive coding and backpropagation,pc-learning,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.14,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.00,1.00,0.17,0.20,0.17,0.40,0.00,0.25,0.00,0.00,0.00,0.20,0.10,0.17,0.08,0.17,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,pc-learning,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.12,0.00,0.00,0.17,0.12,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.17,0.00,0.17,1.00,0.17,0.14,0.14,0.00,0.20,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.00
Predictive Coding Networks and Inference Learning: Tutorial and Survey,pc-learning,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.33,0.17,0.20,0.50,0.14,0.17,0.20,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.40,0.20,0.20,0.20,0.17,1.00,0.40,0.17,0.20,0.25,0.00,0.00,0.00,0.20,0.10,0.17,0.08,0.17,0.00,0.14,0.14,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.17
Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,pc-learning,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,0.29,0.14,0.17,0.40,0.12,0.14,0.17,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.33,0.17,0.17,0.17,0.14,0.40,1.00,0.14,0.17,0.20,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14,0.00,0.12,0.12,0.17,0.00,0.17,0.00,0.17,0.00,0.00,0.14,0.00,0.00,0.14
Predictive Coding: a Theoretical and Experimental Review,pc-learning,0.14,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.12,0.14,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.00,0.40,0.14,0.17,0.14,1.00,0.00,0.20,0.00,0.00,0.00,0.17,0.09,0.14,0.07,0.14,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spiking Neural Predictive Coding for Continual Learning from Data Streams,pc-learning,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.20,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.20,0.00,0.20,0.00,0.20,0.00,0.00,0.17,0.00,0.00,0.17
Understanding and Improving Optimization in Predictive Coding Networks,pc-learning,0.20,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.25,0.17,0.20,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.00,0.25,0.20,0.25,0.20,0.20,0.00,1.00,0.00,0.00,0.00,0.25,0.11,0.20,0.08,0.20,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.00,0.17,0.00,0.00,0.00,0.00,0.17
Dendritic predictive coding: A theory of cortical computation with spiking neurons,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00
Addressing Function Approximation Error in Actor-Critic Methods,replay-off-policy,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.14,0.17,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.00,0.20,0.17,0.20,0.17,0.17,0.00,0.25,0.00,0.00,0.00,1.00,0.10,0.17,0.08,0.17,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Continuous control with deep reinforcement learning,replay-off-policy,0.09,0.10,0.00,0.00,0.00,0.00,0.10,0.10,0.10,0.10,0.00,0.00,0.08,0.00,0.00,0.10,0.18,0.09,0.10,0.00,0.00,0.00,0.10,0.08,0.10,0.09,0.09,0.10,0.00,0.10,0.09,0.10,0.09,0.09,0.00,0.11,0.00,0.00,0.00,0.10,1.00,0.20,0.36,0.33,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.10,0.00,0.00
Deep Reinforcement Learning with Double Q-learning,replay-off-policy,0.14,0.17,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.17,0.00,0.00,0.12,0.00,0.00,0.17,0.29,0.14,0.17,0.00,0.00,0.00,0.17,0.11,0.17,0.14,0.14,0.17,0.00,0.17,0.14,0.17,0.14,0.14,0.00,0.20,0.00,0.00,0.00,0.17,0.20,1.00,0.15,0.33,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Playing Atari with Deep Reinforcement Learning,replay-off-policy,0.07,0.08,0.00,0.00,0.00,0.15,0.08,0.08,0.08,0.08,0.00,0.00,0.07,0.00,0.00,0.08,0.14,0.07,0.08,0.00,0.00,0.00,0.08,0.06,0.08,0.07,0.07,0.08,0.00,0.08,0.07,0.08,0.07,0.07,0.00,0.08,0.00,0.00,0.00,0.08,0.36,0.15,1.00,0.25,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.00
