paper,family,Adam: A Method for Stochastic Optimization,Attention Is All You Need,Deep Residual Learning for Image Recognition,Efficient Estimation of Word Representations in Vector Space,Very Deep Convolutional Networks for Large-Scale Image Recognition,Deep Unsupervised Learning using Nonequilibrium Thermodynamics,Denoising Diffusion Implicit Models,Denoising Diffusion Probabilistic Models,Elucidating the Design Space of Diffusion-Based Generative Models,Score-Based Generative Modeling through Stochastic Differential Equations,A Simple Framework for Contrastive Learning of Visual Representations,Bootstrap your own latent: A new approach to self-supervised Learning,Exploring Simple Siamese Representation Learning,Revisiting Feature Prediction for Learning Visual Representations from Video,Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,Black box variational inference for state space models,Deep Kalman Filters,Linear Variational State-Space Filtering,Variational Tracking and Prediction with Generative Disentangled State-Space Models,Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,Particle Filter Networks with Application to Visual Localization,Particle Filter Recurrent Neural Networks,The Neural Particle Filter,On the relationship between predictive coding and backpropagation,Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,Predictive Coding Networks and Inference Learning: Tutorial and Survey,Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,Predictive Coding: a Theoretical and Experimental Review,Understanding and Improving Optimization in Predictive Coding Networks,Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,Dendritic predictive coding: A theory of cortical computation with spiking neurons,Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,Spiking Neural Predictive Coding for Continual Learning from Data Streams,Adaptive Neural Unscented Kalman Filter,Backprop KF: Learning Discriminative Deterministic State Estimators,Deep Robust Kalman Filter,KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,Neural Kalman Filtering,PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,Dream to Control: Learning Behaviors by Latent Imagination,Learning Latent Dynamics for Planning from Pixels,Mastering Atari with Discrete World Models,Mastering Diverse Domains through World Models,World Models
A Simple Framework for Contrastive Learning of Visual Representations,jepa,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.29,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.14
Bootstrap your own latent: A new approach to self-supervised Learning,jepa,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,1.00,0.50,0.14,0.33,0.00,0.14,0.00,0.14,0.22,0.00,0.12,0.29,0.14,0.29,0.33,0.29,0.12,0.17,0.14,0.00,0.00,0.00,0.14,0.00,0.11,0.11,0.14,0.50,0.00,0.00,0.12,0.00,0.00,0.29
Exploring Simple Siamese Representation Learning,jepa,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.50,1.00,0.17,0.17,0.00,0.17,0.00,0.17,0.25,0.00,0.14,0.14,0.00,0.14,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.12,0.00,0.17,0.33,0.00,0.00,0.14,0.00,0.00,0.33
Revisiting Feature Prediction for Learning Visual Representations from Video,jepa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,1.00,0.50,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.17,0.00,0.17,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.14,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.00,0.40
Self-Supervised Learning from Images with a Joint-Embedding Predictive Architecture,jepa,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.50,1.00,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.40,0.20,0.40,0.50,0.40,0.17,0.25,0.20,0.00,0.00,0.00,0.20,0.00,0.14,0.14,0.20,0.40,0.00,0.00,0.17,0.00,0.00,0.40
Black box variational inference for state space models,latent-generative,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.12,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deep Kalman Filters,latent-generative,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.14,0.17,0.20,0.20,0.00,1.00,0.00,0.20,0.12,0.00,0.17,0.17,0.00,0.17,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.14,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.20,0.17
Linear Variational State-Space Filtering,latent-generative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Variational Tracking and Prediction with Generative Disentangled State-Space Models,latent-generative,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.20,0.00,1.00,0.12,0.00,0.17,0.17,0.00,0.17,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.33,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.00,0.17
Differentiable Particle Filters: End-to-End Learning with Algorithmic Priors,particle,0.00,0.25,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.00,0.11,0.22,0.25,0.12,0.12,0.12,0.12,0.00,0.12,1.00,0.12,0.43,0.11,0.00,0.11,0.12,0.11,0.00,0.00,0.00,0.12,0.00,0.00,0.12,0.00,0.10,0.00,0.29,0.25,0.12,0.00,0.11,0.00,0.00,0.43
Particle Filter Networks with Application to Visual Localization,particle,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.12,1.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Particle Filter Recurrent Neural Networks,particle,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.00,0.00,0.12,0.14,0.17,0.17,0.17,0.17,0.00,0.17,0.43,0.17,1.00,0.14,0.00,0.14,0.17,0.14,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.12,0.00,0.40,0.33,0.17,0.00,0.14,0.00,0.00,0.33
The Neural Particle Filter,particle,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.14,0.17,0.40,0.00,0.17,0.00,0.17,0.11,0.00,0.14,1.00,0.17,0.33,0.40,0.33,0.14,0.20,0.17,0.00,0.00,0.00,0.17,0.00,0.29,0.12,0.17,0.33,0.00,0.00,0.14,0.00,0.00,0.14
On the relationship between predictive coding and backpropagation,pc-learning,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,1.00,0.17,0.20,0.17,0.40,0.25,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00
Predictive Coding Can Do Exact Backpropagation on Convolutional and Recurrent Neural Networks,pc-learning,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.14,0.17,0.40,0.00,0.17,0.00,0.17,0.11,0.00,0.14,0.33,0.17,1.00,0.40,0.33,0.14,0.20,0.17,0.00,0.00,0.00,0.17,0.00,0.12,0.12,0.17,0.33,0.00,0.00,0.14,0.00,0.00,0.14
Predictive Coding Networks and Inference Learning: Tutorial and Survey,pc-learning,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.17,0.20,0.50,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.40,0.20,0.40,1.00,0.40,0.17,0.25,0.20,0.00,0.00,0.00,0.20,0.00,0.14,0.14,0.20,0.40,0.00,0.00,0.17,0.00,0.00,0.17
Predictive Coding: Towards a Future of Deep Learning beyond Backpropagation?,pc-learning,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.14,0.17,0.40,0.00,0.17,0.00,0.17,0.11,0.00,0.14,0.33,0.17,0.33,0.40,1.00,0.14,0.20,0.17,0.00,0.00,0.00,0.17,0.00,0.12,0.12,0.17,0.33,0.00,0.00,0.14,0.00,0.00,0.14
Predictive Coding: a Theoretical and Experimental Review,pc-learning,0.17,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.40,0.14,0.17,0.14,1.00,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.14,0.00,0.00,0.00,0.00,0.17,0.00
Understanding and Improving Optimization in Predictive Coding Networks,pc-learning,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.25,0.20,0.25,0.20,0.20,1.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00
Constrained Predictive Coding as a Biologically Plausible Model of the Cortical Hierarchy,pc-neuro,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.20,0.17,0.20,0.17,0.17,0.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.17,0.00,0.00,0.17,0.00,0.00,0.00
Deep Predictive Coding Networks for Video Prediction and Unsupervised Learning,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.17,0.00,0.00,0.00,0.00,0.20,0.17,0.20,0.00,0.00,0.00,0.00,0.17
Dendritic predictive coding: A theory of cortical computation with spiking neurons,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Predictive Coding Light+: learning to predict visual sequences with spike timing-dependent plasticity and synaptic delays,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Spiking Neural Predictive Coding for Continual Learning from Data Streams,pc-neuro,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.20,0.00,0.20,0.12,0.00,0.17,0.17,0.00,0.17,0.20,0.17,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.14,0.00,0.20,0.17,0.00,0.00,0.17,0.00,0.00,0.17
Adaptive Neural Unscented Kalman Filter,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Backprop KF: Learning Discriminative Deterministic State Estimators,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.14,0.14,0.00,0.14,0.00,0.33,0.10,0.00,0.12,0.29,0.00,0.12,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,1.00,0.00,0.14,0.12,0.00,0.00,0.12,0.00,0.00,0.12
Deep Robust Kalman Filter,state-estimation,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.14,0.12,0.14,0.12,0.12,0.17,0.14,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00
KalmanNet: Neural Network Aided Kalman Filtering for Partially Known Dynamics,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.17,0.20,0.20,0.00,0.20,0.00,0.20,0.29,0.00,0.40,0.17,0.00,0.17,0.20,0.17,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.14,0.00,1.00,0.40,0.20,0.00,0.17,0.00,0.00,0.40
Neural Kalman Filtering,state-estimation,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.50,0.33,0.17,0.40,0.00,0.17,0.00,0.17,0.25,0.00,0.33,0.33,0.17,0.33,0.40,0.33,0.14,0.20,0.17,0.17,0.00,0.00,0.17,0.00,0.12,0.12,0.40,1.00,0.17,0.00,0.14,0.00,0.00,0.33
PKF: Probabilistic Data Association Kalman Filter for Multi-Object Tracking,state-estimation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.17,1.00,0.00,0.00,0.00,0.00,0.17
Dream to Control: Learning Behaviors by Latent Imagination,worldmodels,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.67,0.00,0.00
Learning Latent Dynamics for Planning from Pixels,worldmodels,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.14,0.17,0.17,0.00,0.17,0.00,0.17,0.11,0.00,0.14,0.14,0.00,0.14,0.17,0.14,0.00,0.00,0.17,0.00,0.00,0.00,0.17,0.00,0.12,0.00,0.17,0.14,0.00,0.00,1.00,0.00,0.00,0.14
Mastering Atari with Discrete World Models,worldmodels,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,1.00,0.00,0.00
Mastering Diverse Domains through World Models,worldmodels,0.00,0.00,0.00,0.20,0.00,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
World Models,worldmodels,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.29,0.33,0.40,0.40,0.00,0.17,0.00,0.17,0.43,0.00,0.33,0.14,0.00,0.14,0.17,0.14,0.00,0.00,0.00,0.17,0.00,0.00,0.17,0.00,0.12,0.00,0.40,0.33,0.17,0.00,0.14,0.00,0.00,1.00
